HUMANI-CIND22-ND#22-HNIND1,2000
HUMANI-CIND4-ND#4-HNIND2,2000
HUMANI-CIND5-ND#5-HNIND3,2000
WEE-TD1-TD#1-HNIND4,1500
WEE-TD1-TD#1-HNIND5,30
WEE-TD1-TD#1-HNIND6,1500
WEE-TD3-TD#3-HNIND7,200
WEE-TD3-TD#3-HNIND8,200
WEE-CIND16-PL#16-HNIND9,6466
WEE-CIND16-PL#16-HNIND10,4260
WEE-CIND16-PL#16-HNIND11,4260
WEE-CIND16-PNF#16-HNIND12,368
WEE-CIND16-PNF#16-HNIND13,1236
WEE-CIND16-PNF#16-HNIND14,100
WEE-CIND16-PNF#16-HNIND15,370
WEE-CIND16-PNF#16-HNIND16,370
WEE-CIND16-PNF#16-HNIND17,370
WEE-CIND16-PNF#16-HNIND18,684
WEE-CIND16-PROLEMPA#16-HNIND19,1500
WEE-CIND17-PDR#17-HNIND20,3525
WEE-CIND17-PNF#17-HNIND21,684
WEE-CIND17-PROLEMPA#17-HNIND22,11639
WEE-CIND18-PNF#18-HNIND23,1236
WEE-CIND18-PNF#18-HNIND24,1236
FNS-CIND13-ACS#13-HNIND25,3000
FNS-CIND13-ACS#13-HNIND26,7000
FNS-CIND13-ACS#13-HNIND27,8000
FNS-CIND13-PL#13-HNIND28,39765
FNS-CIND13-PL#13-HNIND29,6300
FNS-CIND13-PNF#13-HNIND30,1236
FNS-CIND13-PNF#13-HNIND31,1236
FNS-CIND13-PNF#13-HNIND32,1236
FNS-CIND13-PNF#13-HNIND33,772
FNS-CIND13-PNF#13-HNIND34,1236
FNS-CIND13-PNF#13-HNIND35,1236
FNS-CIND13-PNF#13-HNIND36,410
FNS-CIND13-PNF#13-HNIND37,1236
FNS-CIND13-PNF#13-HNIND38,100
FNS-CIND13-PNF#13-HNIND39,126
FNS-CIND13-PNF#13-HNIND40,319
FNS-CIND13-PNF#13-HNIND41,319
FNS-CIND14-ACS#14-HNIND42,1500
FNS-CIND14-HGSA#14-HNIND43,9569
FNS-CIND14-PL#14-HNIND44,1585
FNS-CIND14-PL#14-HNIND45,1755
FNS-CIND14-PNF#14-HNIND46,100
FNS-CIND15-ACS#15-HNIND47,24000
FNS-CIND15-ACS#15-HNIND48,15000
FNS-CIND15-ACS#15-HNIND49,6500
FNS-CIND15-ACS#15-HNIND50,8000
FNS-CIND15-ACS#15-HNIND51,1875
FNS-CIND15-DPCO#15-HNIND52,649
FNS-CIND15-DPCO#15-HNIND53,862
FNS-CIND15-DPCO#15-HNIND54,946
FNS-CIND15-PL#15-HNIND55,1200
FNS-CIND15-PL#15-HNIND56,1104
FNS-CIND15-PL#15-HNIND57,1248
FNS-CIND15-PNF#15-HNIND58,119
FNS-CIND15-PNF#15-HNIND59,6390
FNS-CIND15-PNF#15-HNIND60,119
FNS-CIND15-PNF#15-HNIND61,6390
FNS-CIND15-PNF#15-HNIND62,468
FNS-CIND21-ACS#21-HNIND63,19000
FNS-CIND21-ACS#21-HNIND64,7000
FNS-CIND21-ACS#21-HNIND65,12000
FNS-CIND21-ACS#21-HNIND66,12000
FNS-CIND21-ACS#21-HNIND67,8000
FNS-CIND21-ACS#21-HNIND68,12000
FNS-CIND21-DPCO#21-HNIND69,378
FNS-CIND21-PDR#21-HNIND70,100
FNS-CIND21-PL#21-HNIND71,6112
FNS-CIND21-PL#21-HNIND72,1248
FNS-CIND21-PL#21-HNIND73,4694
FNS-CIND21-PL#21-HNIND74,29900
FNS-CIND21-PL#21-HNIND75,6000
FNS-CIND21-PNF#21-HNIND76,126
FNS-CIND21-PNF#21-HNIND77,126
FNS-CIND21-PNF#21-HNIND78,126
FNS-CIND21-PNF#21-HNIND79,1236
FNS-CIND21-SG#21-HNIND80,172
FNS-CIND21-SG#21-HNIND81,172
ROLES-CIND1-PDR#1-HNIND82,600
ROLES-CIND1-PNF#1-HNIND83,750
ROLES-CIND1-PNF#1-HNIND84,230
ROLES-CIND19-PDR#19-HNIND85,600
ROLES-CIND19-PDR#19-HNIND86,600
ROLES-CIND19-PDR#19-HNIND87,600
ROLES-CIND19-PDR#19-HNIND88,115
ROLES-CIND19-PNF#19-HNIND89,300
ROLES-CIND19-PNF#19-HNIND90,1220
ROLES-CIND19-PNF#19-HNIND91,6390
ROLES-CIND19-PROLEMPA#19-HNIND92,3000
ROLES-CIND19-SG#19-HNIND93,172
ROLES-CIND20-PDR#20-HNIND94,1160
ROLES-CIND20-PDR#20-HNIND95,600
ROLES-CIND20-PDR#20-HNIND96,200
ROLES-CIND20-PL#20-HNIND97,1585
ROLES-CIND20-PL#20-HNIND98,1242
ROLES-CIND20-PROLEMPA#20-HNIND99,60
ROLES-CIND20-SG#20-HNIND100,172
ROLES-CIND23-PNF#23-HNIND101,1020
ROLES-CIND24-TD#24-HNIND102,210
ROLES-CIND25-PNF#25-HNIND103,1020
ROLES-CIND25-PNF#25-HNIND104,1020
ROLES-CIND25-PNF#25-HNIND105,1236
ROLES-CIND25-PNF#25-HNIND106,772
ROLES-CIND25-PROLEMPA#25-HNIND107,450
